color_other,color_target,n_target,n_total,response1,response2,response3,rt,slide_number_in_experiment,prolificID,time_in_minutes,language_information.childhood_language,language_information.country_of_birth,language_information.country_of_residence,language_information.father_country_of_birth,language_information.mother_country_of_birth,language_information.preferred_language,subject_information.age,subject_information.assess,subject_information.colorblind,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.languages,system.Browser,system.OS,system.screenH,system.screenW,author,description,experiment_id,inserted_at,updated_at
white,black,77,100,осемдесет,осемдесет,осемдесет,69629,7,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,24,25,двадесет и четири,двадесет и четири,двадесет и четири,41341,8,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
black,white,5,5,пет,пет,пет,12284,9,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,83,100,сто и две,сто и две,сто и две,112336,10,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
black,white,4,5,една,една,една,12979,11,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
black,white,3,10,три,три,три,12932,12,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,63,100,много,повечито,,217456,3,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
black,white,9,10,повечито,,,92762,4,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
black,white,0,5,никоя,,,59298,13,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,4,5,почти всички,доста,,30003,14,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,8,10,доста,повечито,,24513,15,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,4,10,някои, няколко,,19184,16,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,56,100,повечито,,,11884,17,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,44,100,около половината,кам половината,,35222,18,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,19,100,няколко,малко,,25424,19,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,4,25,много малко,няколко,,23925,20,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,6,10,повечито,повече от половината,,31262,21,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,82,100,най-много,повечето,,27628,22,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
black,white,0,100,никоя,,,98771,5,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,9,25,някои,,,28376,23,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
black,white,1,5,единствена,самотна,,38575,24,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,22,25,повечито,,,102241,25,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,100,100, всички,,,17709,26,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
black,white,73,100,повечито,доста,,13673,27,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,34,100,доста,голяма част,,41668,28,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
black,white,1,10,наи малко,само една,единствена,97225,6,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,5,5, всички,,,25914,7,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,24,100, някои,няколко,по малко от полвината,55201,8,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,2,5,по малко от полвината, някои,,37791,9,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
black,white,17,25,по малко от полвината,няколко,,78715,10,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,12,25,кам полвината,доста,,43512,11,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,3,5,най-много, повечето от,,57856,12,5991c60e7d29e700017303c8,23.516966666666665,Bulgarian,Bulgaria,United States,Bulgaria,Bulgaria,English,24,Yes,no,,3,1,Female,"French, Latin",Chrome,Windows,1080,1920,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:06.751487,2018-01-15 15:55:06.751496
white,black,68,100,Повечето ,Преобладаващата част от,По- голямата част,85126,3,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
white,black,9,25,Повечето,Преобладаващите,Повече от половината,69288,4,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
black,white,0,5,Нито една ,,,24289,13,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
white,black,5,5,Всички,,,19043,14,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
black,white,17,25,Повечето,,,11336,15,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
black,white,77,100,Преобладаващите,,,15118,16,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
white,black,2,5,Само две,,,19924,17,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
white,black,3,5,Повечето от половината,Само три,,34130,18,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
black,white,32,100,Малко,,,15168,19,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
black,white,12,100,Много малко,,,12065,20,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
black,white,5,100,Само няколко,,,18311,21,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
white,black,97,100,Почти всички,,,13490,22,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
white,black,53,100,Половината,,,56441,5,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
white,black,4,5,Почти всички,,,15337,23,5838be97fb65a0000128b258,14.00985,Bulgarian ,Bulgaria ,UK,Bulgaria,Bulgaria ,Both English and Bulgarian ,38,Yes,no,Very interesting experiment ,4,2,Female,"English, French",Safari,iPhone/iPod,667,375,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 15:55:05.094571,2018-01-15 15:55:05.094583
