color_other,color_target,n_target,n_total,response1,response2,response3,rt,slide_number_in_experiment,prolificID,time_in_minutes,language_information.childhood_language,language_information.country_of_birth,language_information.country_of_residence,language_information.father_country_of_birth,language_information.mother_country_of_birth,language_information.preferred_language,subject_information.age,subject_information.assess,subject_information.colorblind,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.languages,system.Browser,system.OS,system.screenH,system.screenW,author,description,experiment_id,inserted_at,updated_at
white,black,10,100,десет,десет,десет,44578,3,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,10,10,десет,десет,десет,17308,4,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,91,100,повечето,повечето,повечето,33828,13,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
black,white,19,100,деветнадесет,деветнадесет,деветнадесет,28528,14,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,1,5,една,една,една,13823,15,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
black,white,7,10,седем,седем,седем,14803,16,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
black,white,28,100,двадесет и седем,двадесет и седем,двадесет и седем,33954,17,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
black,white,65,100,повече от половината,повече от половината,повече от половината,25107,18,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,8,25,осем,осем,осем,15362,19,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
black,white,48,100,половината,половината,половината,23138,20,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,2,10,две,две,две,12347,21,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
black,white,14,25,четиринадесет,четиринадесет,четиринадесет,26705,22,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,5,10,пет,пет,пет,12888,5,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
black,white,3,5,три,три,три,10294,23,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,2,5,две,две,две,13321,24,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,16,25,шестнадесет,шестнадесет,шестнадесет,28003,25,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,0,5,пет,пет,пет,29135,26,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,38,100,тридесет и осем,тридесет и осем,тридесет и осем,48540,27,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
black,white,54,100,тридесет и осем,тридесет и осем,тридесет и осем,17507,28,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
white,black,5,25,пет,пет,пет,12236,6,59664120d865d10001cd7176,13.767283333333333,Bulgarian,Bulgaria,UK,Bulgaria,Bulgaria,Bulgarian,28,Yes,no,,1,1,Female,bulgarian,Chrome,Windows,768,1366,JI Xiang,Pilot experiment on Prolific collecting the most common Chinese quantifiers,bulgarian-free-production-pilot,2018-01-15 17:03:06.314652,2018-01-15 17:03:06.331266
