color_other,color_target,n_target,n_total,response1,response2,response3,rt,slide_number_in_experiment,prolificID,time_in_minutes,language_information.childhood_language,language_information.country_of_birth,language_information.country_of_residence,language_information.father_country_of_birth,language_information.mother_country_of_birth,language_information.preferred_language,subject_information.age,subject_information.assess,subject_information.colorblind,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.languages,system.Browser,system.OS,system.screenH,system.screenW,author,description,experiment_id,inserted_at,updated_at
black,white,72,100,la mayoria,una gran parte,mas de la mitad,52622,3,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
black,white,8,25,ocho,una pequeña parte,,29959,4,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
white,black,5,5,todos,la totalidad,,14807,13,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
white,black,37,100,algo menos de la mitad,un poco menos de la mitad,,21001,14,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
black,white,24,25,casi todos,practicamente todos,,20735,15,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
white,black,4,5,practicamente todos,casi todos,,15111,16,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
white,black,68,100,una gran parte,la mayoria,,18912,17,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
white,black,3,5,un pelín mas de la mitad,casi dos tercios,,25368,18,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
white,black,3,10,casi ninguno,muy pocos,,13120,19,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
white,black,5,10,la mitad,exactamente la mitad,,16672,20,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
black,white,1,10,practicamente ninguno,apenas alguno,casi ninguno,28409,21,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
black,white,1,5,casi ninguno,practicamente ninguno,,16758,22,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
white,black,22,100,un tercio,una pequeña parte,unos pocos,34721,5,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
white,black,83,100,la gran mayoría,la mayor parte,casi todos,20241,23,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
white,black,97,100,practicamente todos,casi casi todos,todos menos alguno,32519,24,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
black,white,11,25,la mitad,alrededor de la mitad,,13664,25,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
black,white,0,5,ninguno,,,15791,26,5a227930e473b80001baaa59,12.912783333333334,Spanish|English|Basque,Spain,Spain,Spain,Spain,Spanish,18,Confused,no,It was pretty hard to differenciate between some of the cases. I also forgot abut the numbering condition on a couple of the pictures|sorry,2,2,Male,English|Basque|Spanish,Chrome,Windows,864,1536,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 14:41:05.822088,2017-12-19 14:41:05.822099
