color_other,color_target,n_target,n_total,response1,response2,response3,rt,slide_number_in_experiment,prolificID,time_in_minutes,language_information.childhood_language,language_information.country_of_birth,language_information.country_of_residence,language_information.father_country_of_birth,language_information.mother_country_of_birth,language_information.preferred_language,subject_information.age,subject_information.assess,subject_information.colorblind,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.languages,system.Browser,system.OS,system.screenH,system.screenW,author,description,experiment_id,inserted_at,updated_at
white,black,15,100,ciertas partes de,unos pocos,estan distribuidos en algunas partes,93977,3,59d3903dd552520001fe6df0,14.591116666666666,English and Spanish,Chile,United Kingdom,Chile,Chile,I dont mind,43,Yes,no,,4,2,Female,English and Spanish,Safari,Mac,800,1280,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 22:42:18.944984,2017-12-19 22:42:18.944996
white,black,69,100,la mayoría,muchos,casi todos,42642,4,59d3903dd552520001fe6df0,14.591116666666666,English and Spanish,Chile,United Kingdom,Chile,Chile,I dont mind,43,Yes,no,,4,2,Female,English and Spanish,Safari,Mac,800,1280,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 22:42:18.944984,2017-12-19 22:42:18.944996
black,white,2,5,menos de la mitad,pocos,,16856,13,59d3903dd552520001fe6df0,14.591116666666666,English and Spanish,Chile,United Kingdom,Chile,Chile,I dont mind,43,Yes,no,,4,2,Female,English and Spanish,Safari,Mac,800,1280,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 22:42:18.944984,2017-12-19 22:42:18.944996
black,white,1,25,el minimo de,casi no hay,,26124,14,59d3903dd552520001fe6df0,14.591116666666666,English and Spanish,Chile,United Kingdom,Chile,Chile,I dont mind,43,Yes,no,,4,2,Female,English and Spanish,Safari,Mac,800,1280,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 22:42:18.944984,2017-12-19 22:42:18.944996
black,white,23,25,muchos ,la mayoría,casi la totalidad,27351,15,59d3903dd552520001fe6df0,14.591116666666666,English and Spanish,Chile,United Kingdom,Chile,Chile,I dont mind,43,Yes,no,,4,2,Female,English and Spanish,Safari,Mac,800,1280,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 22:42:18.944984,2017-12-19 22:42:18.944996
white,black,5,5,la totalidad,todos,solo ,15069,16,59d3903dd552520001fe6df0,14.591116666666666,English and Spanish,Chile,United Kingdom,Chile,Chile,I dont mind,43,Yes,no,,4,2,Female,English and Spanish,Safari,Mac,800,1280,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 22:42:18.944984,2017-12-19 22:42:18.944996
black,white,30,100,la mitad de ,,,23653,17,59d3903dd552520001fe6df0,14.591116666666666,English and Spanish,Chile,United Kingdom,Chile,Chile,I dont mind,43,Yes,no,,4,2,Female,English and Spanish,Safari,Mac,800,1280,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 22:42:18.944984,2017-12-19 22:42:18.944996
black,white,7,10,la mayoría,,,10957,18,59d3903dd552520001fe6df0,14.591116666666666,English and Spanish,Chile,United Kingdom,Chile,Chile,I dont mind,43,Yes,no,,4,2,Female,English and Spanish,Safari,Mac,800,1280,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 22:42:18.944984,2017-12-19 22:42:18.944996
black,white,10,100,muy pocos,algunos,,20021,19,59d3903dd552520001fe6df0,14.591116666666666,English and Spanish,Chile,United Kingdom,Chile,Chile,I dont mind,43,Yes,no,,4,2,Female,English and Spanish,Safari,Mac,800,1280,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 22:42:18.944984,2017-12-19 22:42:18.944996
black,white,1,10,alguno,,,30601,20,59d3903dd552520001fe6df0,14.591116666666666,English and Spanish,Chile,United Kingdom,Chile,Chile,I dont mind,43,Yes,no,,4,2,Female,English and Spanish,Safari,Mac,800,1280,JI Xiang,Pilot experiment on Prolific collecting the most common Spanish quantifiers,spanish-free-production-pilot,2017-12-19 22:42:18.944984,2017-12-19 22:42:18.944996
